team,opponent,matches,wins,draws,losses,gf,ga,home_matches,gd,win_rate,draw_rate,loss_rate,points,points_per_match
北海道コンサドーレ札幌 S S S S S S S S S S S S S S S S S S S S Y Referee: 家本 政明 2020.07.04 清水エスパルス 1 Result 2 名古屋グランパス S S S S S S S S S S S S S S S S S S S Y Y Y R Y Y Referee: 村上 伸次 2020.07.04 ガンバ大阪 1 Result 2 セレッソ大阪 S S S S S S S S S S S S S S S S S S S Y Referee: 佐藤 隆治 2020.07.04 大分トリニータ 2 Result 0 サガン鳥栖 S S S S S S S S S S S S Referee: 福島 孝一郎 2020.07.04 浦和レッズ 0 Result 0 横浜Ｆ・マリノス S S S S S S S S S S S S S S S S S S S S S S S Y Y Referee: 西村 雄一 2020.07.04 柏レイソル 0 Result 1 ＦＣ東京 S S S S S S S S S S S S S S S S S S S R Y Y Y Y Referee: 荒木 友輔 2020.07.04 川崎フロンターレ 2 Result 1 鹿島アントラーズ S S S S S S S S S S S S S S S S S Y Y Y Y Y Referee: 飯田 淳平 2020.07.04 湘南ベルマーレ 0 Result 1 ベガルタ仙台 S S S S S S S S S S S S S S S S S S S Y Y Y Referee: 木村 博之 2020.07.04 ヴィッセル神戸 0 Result 3 サンフレッチェ広島 S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Referee: 山本 雄大 2020.07.08 ベガルタ仙台 1 Result 2 浦和レッズ S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Referee: 中村 太 2020.07.08 セレッソ大阪 2 Result 0 清水エスパルス S S S S S S S S S S S S S S S S S S S Y Y Referee: 今村 義朗 2020.07.08 柏レイソル 1 Result 3 横浜ＦＣ S S S S S S S S S S S S S S S S Y Y Referee: 飯田 淳平 2020.07.08 鹿島アントラーズ 0 Result 2 北海道コンサドーレ札幌 S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Y Y Referee: 荒木 友輔 2020.07.08 横浜Ｆ・マリノス 3 Result 2 湘南ベルマーレ S S S S S S S S S S S S S S S S Y Y Y Y Y Y Y Referee: 佐藤 隆治 2020.07.08 サンフレッチェ広島 1 Result 2 大分トリニータ S S S S S S S S S S S S S S S S S S S S S S Referee: 池内 明彦 2020.07.08 サガン鳥栖 0 Result 1 ヴィッセル神戸 S S S S S S S S S S S S S S Y Referee: 笠原 寛貴 2020.07.08 ＦＣ東京 0 Result 4 川崎フロンターレ S S S S S S S S S S S S S S S S S S S S S S S Y Referee: 木村 博之 2020.07.08 名古屋グランパス 2 Result 2 ガンバ大阪 S S S S S S S S S S S S S S S S S S Y Y Referee: 山本 雄大 2020.07.11 川崎フロンターレ 3 Result 1 柏レイソル,横浜ＦＣ,1,1,0,0,2,1,0,1,1.0,0.0,0.0,3,3.0
名古屋グランパス,横浜Ｆ・マリノス,69,25,17,27,86,104,34,-18,0.36231884057971014,0.2463768115942029,0.391304347826087,92,1.3333333333333333
名古屋グランパス,サンフレッチェ広島,64,29,12,23,79,88,33,-9,0.453125,0.1875,0.359375,99,1.546875
名古屋グランパス,鹿島アントラーズ,64,23,6,35,79,111,33,-32,0.359375,0.09375,0.546875,75,1.171875
名古屋グランパス,浦和レッズ,63,30,8,25,106,78,32,28,0.47619047619047616,0.12698412698412698,0.3968253968253968,98,1.5555555555555556
名古屋グランパス,ガンバ大阪,63,27,6,30,106,121,31,-15,0.42857142857142855,0.09523809523809523,0.47619047619047616,87,1.380952380952381
名古屋グランパス,清水エスパルス,61,24,11,26,101,96,31,5,0.39344262295081966,0.18032786885245902,0.4262295081967213,83,1.360655737704918
名古屋グランパス,柏レイソル,55,27,10,18,81,68,28,13,0.4909090909090909,0.18181818181818182,0.32727272727272727,91,1.6545454545454545
名古屋グランパス,ジュビロ磐田,53,24,8,21,79,70,27,9,0.4528301886792453,0.1509433962264151,0.39622641509433965,80,1.509433962264151
名古屋グランパス,ヴィッセル神戸,52,24,8,20,80,69,26,11,0.46153846153846156,0.15384615384615385,0.38461538461538464,80,1.5384615384615385
名古屋グランパス,ＦＣ東京,48,15,12,21,50,61,24,-11,0.3125,0.25,0.4375,57,1.1875
名古屋グランパス,セレッソ大阪,47,28,4,15,81,55,23,26,0.5957446808510638,0.0851063829787234,0.3191489361702128,88,1.872340425531915
名古屋グランパス,川崎フロンターレ,41,10,7,24,45,77,21,-32,0.24390243902439024,0.17073170731707318,0.5853658536585366,37,0.9024390243902439
名古屋グランパス,湘南ベルマーレ,40,20,8,12,65,49,20,16,0.5,0.2,0.3,68,1.7
名古屋グランパス,東京ヴェルディ,38,14,5,19,57,65,19,-8,0.3684210526315789,0.13157894736842105,0.5,47,1.236842105263158
名古屋グランパス,ジェフユナイテッド千葉,37,23,3,11,74,47,17,27,0.6216216216216216,0.08108108108108109,0.2972972972972973,72,1.945945945945946
名古屋グランパス,アルビレックス新潟,32,15,6,11,42,37,16,5,0.46875,0.1875,0.34375,51,1.59375
名古屋グランパス,京都サンガF.C.,30,14,8,8,43,34,15,9,0.4666666666666667,0.26666666666666666,0.26666666666666666,50,1.6666666666666667
名古屋グランパス,アビスパ福岡,28,20,3,5,53,21,14,32,0.7142857142857143,0.10714285714285714,0.17857142857142858,63,2.25
名古屋グランパス,ベガルタ仙台,26,10,6,10,33,35,13,-2,0.38461538461538464,0.23076923076923078,0.38461538461538464,36,1.3846153846153846
名古屋グランパス,北海道コンサドーレ札幌,24,11,4,9,36,32,12,4,0.4583333333333333,0.16666666666666666,0.375,37,1.5416666666666667
名古屋グランパス,サガン鳥栖,24,7,8,9,26,24,12,2,0.2916666666666667,0.3333333333333333,0.375,29,1.2083333333333333
名古屋グランパス,大分トリニータ,22,12,6,4,32,19,11,13,0.5454545454545454,0.2727272727272727,0.18181818181818182,42,1.9090909090909092
名古屋グランパス,大宮アルディージャ,22,12,5,5,40,22,11,18,0.5454545454545454,0.22727272727272727,0.22727272727272727,41,1.8636363636363635
名古屋グランパス,横浜フリューゲルス,16,7,0,9,19,26,9,-7,0.4375,0.0,0.5625,21,1.3125
名古屋グランパス,ヴァンフォーレ甲府,14,6,3,5,24,18,7,6,0.42857142857142855,0.21428571428571427,0.35714285714285715,21,1.5
名古屋グランパス,横浜ＦＣ,10,4,4,2,13,10,5,3,0.4,0.4,0.2,16,1.6
名古屋グランパス,モンテディオ山形,8,6,2,0,13,1,4,12,0.75,0.25,0.0,20,2.5
名古屋グランパス,徳島ヴォルティス,4,2,2,0,6,1,2,5,0.5,0.5,0.0,8,2.0
名古屋グランパス,松本山雅ＦＣ,4,1,2,1,5,5,2,0,0.25,0.5,0.25,5,1.25
名古屋グランパス,ＦＣ町田ゼルビア,4,0,0,4,2,7,2,-5,0.0,0.0,1.0,0,0.0
名古屋グランパス,ファジアーノ岡山,2,1,1,0,1,0,1,1,0.5,0.5,0.0,4,2.0
名古屋グランパス,Ｖ・ファーレン長崎,2,0,0,2,3,7,1,-4,0.0,0.0,1.0,0,0.0
名古屋グランパス,"ガンバ大阪 1 (3) Result (4) 1 サンフレッチェ広島 観客:19,209 S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Y Y Referee: 小川 佳実 1994.08.13 ジュビロ磐田",1,1,0,0,3,2,0,1,1.0,0.0,0.0,3,3.0
名古屋グランパス,"ジュビロ磐田 2 (5) Result (4) 2 ガンバ大阪 観客:14,441 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Referee: 梅本 博之 1994.08.20 横浜フリューゲルス",1,1,0,0,2,1,0,1,1.0,0.0,0.0,3,3.0
名古屋グランパス,"セレッソ大阪 0 (2) Result (4) 0 鹿島アントラーズ 観客:13,748 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Referee: 片山 義継 1995.06.21 柏レイソル",1,1,0,0,1,0,0,1,1.0,0.0,0.0,3,3.0
名古屋グランパス,"東京ヴェルディ 1 (2) Result (3) 1 鹿島アントラーズ 観客:30,211 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Referee: 岡田 正義 1997.05.17 ガンバ大阪",1,1,0,0,1,0,0,1,1.0,0.0,0.0,3,3.0
名古屋グランパス,"浦和レッズ 2 (5) Result (4) 2 横浜Ｆ・マリノス 観客:19,455 S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Referee: 塩屋園 文一 1995.11.11 柏レイソル 3 (2) Result (4) 3 鹿島アントラーズ 観客:14,273 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S R Y Y Y Y Y Referee: 小川 佳実 1995.11.11 サンフレッチェ広島",1,1,0,0,2,0,0,2,1.0,0.0,0.0,3,3.0
