year,cutoff_matches,beta_elo,teams,season_matches,known_matches,future_matches,known_ratio,cutoff_date,cutoff_mode,min_team_games_at_cutoff,max_team_games_at_cutoff,avg_team_games_at_cutoff,league_home_avg_known,league_away_avg_known,prior_matches_used,mae,mean_prob_actual_position,sim_draw_rate,actual_future_draw_rate,sim_goals_per_match,actual_future_goals_per_match,mean_lambda_home,mean_lambda_away,mean_lambda_total,mean_elo_factor,mean_abs_elo_diff
2025,15,0.1,20,380,166,214,0.4368421052631579,2025-05-18,all_teams_at_least,15,18,16.6,1.2108433734939759,0.9759036144578314,14083,2.15336,0.15440000000000004,0.28979392523364483,0.26635514018691586,2.127016355140187,2.55607476635514,1.1692522383823916,0.9583948078202238,2.1276470462026156,0.9995317199330811,61.89919626168224
2023,15,0.15,18,306,142,164,0.46405228758169936,2023-06-04,all_teams_at_least,15,16,15.777777777777779,1.3943661971830985,1.2887323943661972,12424,1.7175777777777776,0.1940388888888889,0.24236646341463414,0.2682926829268293,2.6420420731707317,2.3841463414634148,1.3947812660865422,1.2485609430041378,2.64334220909068,1.0022875184115339,90.65633536585361
2024,15,0.15,20,380,165,215,0.4342105263157895,2024-06-01,all_teams_at_least,15,17,16.5,1.3515151515151516,1.2666666666666666,13513,2.6970700000000005,0.091875,0.24996093023255814,0.2651162790697674,2.5748772093023256,2.6744186046511627,1.3487603149310834,1.2256550388677516,2.574415353798835,1.00121451740674,72.30065581395348
2025,15,0.15,20,380,166,214,0.4368421052631579,2025-05-18,all_teams_at_least,15,18,16.6,1.2108433734939759,0.9759036144578314,14083,2.1432200000000003,0.15432,0.2889827102803738,0.26635514018691586,2.1322607476635516,2.55607476635514,1.1714546726385369,0.9610643867648759,2.1325190594034127,0.9994349479542717,61.89919626168224
2023,15,0.2,18,306,142,164,0.46405228758169936,2023-06-04,all_teams_at_least,15,16,15.777777777777779,1.3943661971830985,1.2887323943661972,12424,1.7191444444444444,0.1913111111111111,0.24013841463414634,0.2682926829268293,2.65227256097561,2.3841463414634148,1.4004829848926272,1.2542458989392284,2.6547288838318552,1.0034239972090675,90.65633536585361
2024,15,0.2,20,380,165,215,0.4342105263157895,2024-06-01,all_teams_at_least,15,17,16.5,1.3515151515151516,1.2666666666666666,13513,2.69287,0.09218499999999999,0.24911302325581394,0.2651162790697674,2.5819362790697675,2.6744186046511627,1.3534469187687566,1.22894112682392,2.582388045592676,1.0018594679920072,72.30065581395348
2025,15,0.2,20,380,166,214,0.4368421052631579,2025-05-18,all_teams_at_least,15,18,16.6,1.2108433734939759,0.9759036144578314,14083,2.1308000000000002,0.155915,0.28715981308411215,0.26635514018691586,2.137307009345794,2.55607476635514,1.1737688253172276,0.9638338583687518,2.137602683685979,0.9994296446683303,61.89919626168224
2023,15,0.3,18,306,142,164,0.46405228758169936,2023-06-04,all_teams_at_least,15,16,15.777777777777779,1.3943661971830985,1.2887323943661972,12424,1.695166666666667,0.19646666666666668,0.2356969512195122,0.2682926829268293,2.6797798780487807,2.3841463414634148,1.4126693212493941,1.2653201251724087,2.6779894464218024,1.006260523582938,90.65633536585361
2024,15,0.3,20,380,165,215,0.4342105263157895,2024-06-01,all_teams_at_least,15,17,16.5,1.3515151515151516,1.2666666666666666,13513,2.7012699999999996,0.09104999999999999,0.2459167441860465,0.2651162790697674,2.5978627906976746,2.6744186046511627,1.3633420661999067,1.2359918076794598,2.599333873879366,1.003510663674197,72.30065581395348
2025,15,0.3,20,380,166,214,0.4368421052631579,2025-05-18,all_teams_at_least,15,18,16.6,1.2108433734939759,0.9759036144578314,14083,2.11684,0.157635,0.285107476635514,0.26635514018691586,2.1485607476635513,2.55607476635514,1.1787345268845895,0.9696757362884376,2.148410263173027,0.9996932549614712,61.89919626168224
2023,17,0.0,18,306,160,146,0.5228758169934641,2023-06-25,all_teams_at_least,17,18,17.77777777777778,1.38125,1.3,12424,2.039444444444445,0.17721666666666666,0.2482445205479452,0.273972602739726,2.62278698630137,2.335616438356164,1.400328428739361,1.2245690456913414,2.624897474430702,1.0,92.78213698630137
2024,17,0.0,20,380,179,201,0.4710526315789474,2024-06-19,all_teams_at_least,17,18,17.9,1.3910614525139664,1.2625698324022345,13513,2.53193,0.092255,0.2528537313432836,0.26865671641791045,2.596938805970149,2.6417910447761193,1.3566906626397655,1.2392356212261477,2.5959262838659134,1.0,76.06325373134327
2025,17,0.0,20,380,178,202,0.46842105263157896,2025-05-25,all_teams_at_least,17,19,17.8,1.247191011235955,1.0056179775280898,14083,2.3055499999999993,0.134755,0.2871435643564356,0.2623762376237624,2.187657920792079,2.51980198019802,1.2180354377857059,0.9700089523711174,2.1880443901568234,1.0,57.92732178217823
2023,17,0.05,18,306,160,146,0.5228758169934641,2023-06-25,all_teams_at_least,17,18,17.77777777777778,1.38125,1.3,12424,2.0483777777777785,0.17705,0.24577465753424657,0.273972602739726,2.6339116438356163,2.335616438356164,1.4062336601328262,1.228586138011314,2.6348197981441404,1.001027875124532,92.78213698630137
2024,17,0.05,20,380,179,201,0.4710526315789474,2024-06-19,all_teams_at_least,17,18,17.9,1.3910614525139664,1.2625698324022345,13513,2.5322000000000005,0.092605,0.2512318407960199,0.26865671641791045,2.604633830845771,2.6417910447761193,1.3606006375848279,1.2424000292985902,2.6030006668834176,0.9999966402854091,76.06325373134327
2025,17,0.05,20,380,178,202,0.46842105263157896,2025-05-25,all_teams_at_least,17,19,17.8,1.247191011235955,1.0056179775280898,14083,2.3109599999999992,0.13610499999999998,0.28625148514851484,0.2623762376237624,2.191022277227723,2.51980198019802,1.2198430642153029,0.9719402845821833,2.1917833487974865,1.0000913797043205,57.92732178217823
2023,17,0.1,18,306,160,146,0.5228758169934641,2023-06-25,all_teams_at_least,17,18,17.77777777777778,1.38125,1.3,12424,2.0552666666666664,0.17763888888888887,0.24364246575342466,0.273972602739726,2.6478589041095892,2.335616438356164,1.4124136759196788,1.2328733950525586,2.645287070972237,1.0022533480142055,92.78213698630137
2024,17,0.1,20,380,179,201,0.4710526315789474,2024-06-19,all_teams_at_least,17,18,17.9,1.3910614525139664,1.2625698324022345,13513,2.5317899999999995,0.090605,0.24956119402985075,0.26865671641791045,2.608599502487562,2.6417910447761193,1.3645669164156633,1.2457395664955735,2.6103064829112372,1.0001289720073672,76.06325373134327
2025,17,0.1,20,380,178,202,0.46842105263157896,2025-05-25,all_teams_at_least,17,19,17.8,1.247191011235955,1.0056179775280898,14083,2.30727,0.136885,0.28597673267326734,0.2623762376237624,2.195837128712871,2.51980198019802,1.221747578326755,0.9739516633446077,2.1956992416713628,1.0002589475250736,57.92732178217823
2023,17,0.15,18,306,160,146,0.5228758169934641,2023-06-25,all_teams_at_least,17,18,17.77777777777778,1.38125,1.3,12424,2.0630444444444445,0.17713333333333334,0.2419541095890411,0.273972602739726,2.656280136986301,2.335616438356164,1.4188704601741433,1.2374337042555108,2.6563041644296543,1.0036765263663938,92.78213698630137
2024,17,0.15,20,380,179,201,0.4710526315789474,2024-06-19,all_teams_at_least,17,18,17.9,1.3910614525139664,1.2625698324022345,13513,2.5394500000000004,0.092085,0.2484641791044776,0.26865671641791045,2.6163039800995023,2.6417910447761193,1.3687212078850406,1.2492552499926162,2.6179764578776563,1.0003971460280914,76.06325373134327
