match_id,year,date,beta_elo,home,away,actual_home_goal,actual_away_goal,home_elo,away_elo,elo_diff,elo_factor,lambda_home_base,lambda_away_base,lambda_home,lambda_away
J1_2024_226,2024,2024-07-14,0.3,名古屋グランパス,柏レイソル,2,1,1568.795,1493.159,75.63599999999997,1.0583668368059518,1.0496403480749468,0.922306587669491,1.1109045349759796,0.8714432043741305
J1_2024_227,2024,2024-07-14,0.3,川崎フロンターレ,セレッソ大阪,1,1,1575.083,1594.838,-19.75499999999988,0.985292970553674,1.2408911851604922,0.9659747361239346,1.2226413619606507,0.9803934108868312
J1_2024_228,2024,2024-07-14,0.3,東京ヴェルディ,ＦＣ町田ゼルビア,0,1,1584.284,1660.305,-76.02099999999996,0.9445791921270894,0.7293111304408069,1.7148404587060864,0.6888921184010717,1.815454408692248
J1_2024_229,2024,2024-07-14,0.3,横浜Ｆ・マリノス,鹿島アントラーズ,4,1,1619.274,1652.977,-33.7030000000002,0.9750395448366065,1.581848339782424,1.346844476221991,1.5423646852219963,1.3813229251616561
J1_2024_230,2024,2024-07-14,0.3,湘南ベルマーレ,ジュビロ磐田,5,0,1479.715,1543.88,-64.16500000000019,0.9530158440692279,1.2995207831907831,1.737900663329134,1.2384638960780683,1.8235800319001743
J1_2024_231,2024,2024-07-20,0.3,アビスパ福岡,東京ヴェルディ,0,1,1580.175,1584.284,-4.109000000000151,0.9969229937172963,0.9937557439999131,1.173006212299883,0.9906979513321524,1.1766267000483286
J1_2024_232,2024,2024-07-20,0.3,ガンバ大阪,湘南ベルマーレ,0,1,1584.206,1479.715,104.49099999999999,1.081520855402612,1.9170862296764744,0.913638192787907,2.0733687390002684,0.8447716826022665
J1_2024_233,2024,2024-07-20,0.3,ジュビロ磐田,京都サンガF.C.,1,2,1543.88,1461.401,82.47900000000004,1.063812602566365,1.1493382799047285,0.7710566640755557,1.2226805467745985,0.7248049724316498
J1_2024_234,2024,2024-07-20,0.3,セレッソ大阪,アルビレックス新潟,1,2,1594.838,1544.937,49.90100000000007,1.0381349127028348,1.4176645665214775,1.262254311691492,1.4717270810076761,1.215886582992524
J1_2024_235,2024,2024-07-20,0.3,ヴィッセル神戸,名古屋グランパス,3,3,1673.505,1568.795,104.71000000000004,1.081698509792579,0.9904675219393705,0.9006316990943185,1.0713872424797657,0.832608800826599
J1_2024_236,2024,2024-07-20,0.3,柏レイソル,川崎フロンターレ,2,3,1493.159,1575.083,-81.92399999999998,0.9404065473849682,1.110401791406765,1.1384667134312934,1.0442291148669196,1.21061121553979
J1_2024_237,2024,2024-07-20,0.3,浦和レッズ,北海道コンサドーレ札幌,3,4,1598.541,1436.565,161.97599999999989,1.1291690406994985,2.674858669326992,0.7672771203408432,3.0203675976506967,0.6795059842107695
J1_2024_238,2024,2024-07-20,0.3,鹿島アントラーズ,ＦＣ東京,2,1,1652.977,1577.004,75.97300000000018,1.0586343728323957,1.6546976565499965,1.1231823405379744,1.7517198158690404,1.0609728621723091
J1_2024_239,2024,2024-07-20,0.3,ＦＣ町田ゼルビア,横浜Ｆ・マリノス,1,2,1660.305,1619.274,41.031000000000176,1.031251641063716,1.9821936819758659,1.4000414758689061,2.0441404874437414,1.3576138161824312
J1_2024_240,2024,2024-07-21,0.3,サガン鳥栖,サンフレッチェ広島,1,4,1510.494,1658.003,-147.50900000000001,0.8952683708112282,0.9471152921157436,1.4060751937414948,0.8479223645428623,1.5705627938887308
J1_2024_241,2024,2024-08-07,0.3,アルビレックス新潟,ジュビロ磐田,2,2,1544.937,1543.88,1.056999999999789,1.000793064309332,1.448843916649823,1.6650558509386664,1.4499929430499106,1.6637364009789137
J1_2024_242,2024,2024-08-07,0.3,ガンバ大阪,ＦＣ東京,0,0,1584.206,1577.004,7.201999999999998,1.0054161144025082,1.4299173205270486,1.0488658277949428,1.437661916321151,1.0432156524746528
J1_2024_243,2024,2024-08-07,0.3,セレッソ大阪,ＦＣ町田ゼルビア,0,0,1594.838,1660.305,-65.4670000000001,0.9520856783248326,0.7095706292830277,1.62675469009113,0.6755720339003097,1.7086221619816382
J1_2024_244,2024,2024-08-07,0.3,京都サンガF.C.,名古屋グランパス,3,2,1461.401,1568.795,-107.394,0.9226129237406921,0.7540677917707237,1.9725876634735942,0.6957126900642748,2.1380446910236497
J1_2024_245,2024,2024-08-07,0.3,川崎フロンターレ,ヴィッセル神戸,3,0,1575.083,1673.505,-98.42200000000003,0.9288421207332962,0.990220831307825,1.2911442602890233,0.9197588169462477,1.3900578273406672
J1_2024_246,2024,2024-08-07,0.3,東京ヴェルディ,サンフレッチェ広島,0,1,1584.284,1658.003,-73.71899999999982,0.9462114167147273,0.9647982110802038,1.369942590025217,0.9129030821500341,1.4478187071359763
J1_2024_247,2024,2024-08-07,0.3,横浜Ｆ・マリノス,北海道コンサドーレ札幌,3,2,1619.274,1436.565,182.70899999999983,1.1468645608921568,2.7214103521395625,0.8181264213420817,3.121089088513909,0.7133592311071617
J1_2024_248,2024,2024-08-07,0.3,湘南ベルマーレ,アビスパ福岡,1,1,1479.715,1580.175,-100.46000000000004,0.9274234700317548,0.6932126054246875,1.3851461279976929,0.6429016399927174,1.49354224122694
J1_2024_249,2024,2024-08-07,0.3,鹿島アントラーズ,サガン鳥栖,3,0,1652.977,1510.494,142.48300000000017,1.112780958344285,2.419833913602426,0.7551796377184172,2.692745101412509,0.6786417686748115
J1_2024_250,2024,2024-08-10,0.3,北海道コンサドーレ札幌,アビスパ福岡,2,2,1436.565,1580.175,-143.6099999999999,0.8978901909049605,0.5752530798726927,1.3275846397662565,0.5165140977055586,1.4785601326463074
J1_2024_251,2024,2024-08-11,0.3,サガン鳥栖,浦和レッズ,1,1,1510.494,1598.541,-88.04700000000003,0.9360978662602463,1.7859081838751714,1.5067838083104217,1.6717848402622595,1.6096434599622493
J1_2024_252,2024,2024-08-11,0.3,サンフレッチェ広島,セレッソ大阪,2,0,1658.003,1594.838,63.164999999999964,1.0485138178952607,1.4285573711262554,0.9236180083279881,1.4978621432820067,0.8808830103755974
J1_2024_253,2024,2024-08-11,0.3,ジュビロ磐田,鹿島アントラーズ,2,1,1543.88,1652.977,-109.09699999999998,0.9214352686239423,1.131640564453785,1.5065654025035733,1.042733527493223,1.6350203359954472
J1_2024_254,2024,2024-08-11,0.3,名古屋グランパス,東京ヴェルディ,1,0,1568.795,1584.284,-15.489000000000033,0.9884504639194203,1.0271118773386587,1.185140504624443,1.0152492116525438,1.1989882628261452
J1_2024_255,2024,2024-08-11,0.3,柏レイソル,ガンバ大阪,0,0,1493.159,1584.206,-91.0469999999998,0.9339940137827607,0.6688680460645233,0.7195121936517243,0.6247187510348367,0.77036060513668
J1_2024_256,2024,2024-08-11,0.3,横浜Ｆ・マリノス,ヴィッセル神戸,1,2,1619.274,1673.505,-54.23100000000022,0.9601428053599389,0.8865365409044701,1.273932070548776,0.8512016814381141,1.3268152023189963
J1_2024_257,2024,2024-08-11,0.3,ＦＣ東京,川崎フロンターレ,0,3,1577.004,1575.083,1.9209999999998217,1.0014417883789026,1.7106435874703925,1.245032977288423,1.7131099735152515,1.2432404876012184
