match_id,year,date,cutoff_matches,beta_elo,home,away,actual_home_goal,actual_away_goal,home_elo,away_elo,elo_diff,elo_factor,lambda_home_base,lambda_away_base,lambda_home,lambda_away
J1_2024_248,2024,2024-08-07,17,0.15,湘南ベルマーレ,アビスパ福岡,1,1,1488.84,1576.151,-87.31100000000015,0.9677885796624431,0.8235666207163305,1.5503525400980256,0.7970383701204555,1.601953745557502
J1_2024_249,2024,2024-08-07,17,0.15,鹿島アントラーズ,サガン鳥栖,3,0,1652.807,1495.049,157.75800000000004,1.0609441826488895,2.400967050771039,0.7488793620090812,2.5472920252471947,0.7058612264966974
J1_2024_250,2024,2024-08-10,17,0.15,北海道コンサドーレ札幌,アビスパ福岡,2,2,1443.008,1576.151,-133.14300000000003,0.9512973209239125,0.6702971904990973,1.4772931811599719,0.6376519215446167,1.5529247782651225
J1_2024_251,2024,2024-08-11,17,0.15,サガン鳥栖,浦和レッズ,1,1,1495.049,1598.71,-103.66100000000006,0.9618729794769102,1.6223274719487695,1.6204471300605052,1.5604729591306064,1.6846789177316777
J1_2024_252,2024,2024-08-11,17,0.15,サンフレッチェ広島,セレッソ大阪,2,0,1651.04,1594.562,56.478000000000065,1.0214051220974845,1.4052217189611962,0.9280942100526761,1.4353006614295976,0.9086445622544053
J1_2024_253,2024,2024-08-11,17,0.15,ジュビロ磐田,鹿島アントラーズ,2,1,1544.156,1652.807,-108.65100000000007,0.9600747576500783,1.0726909812175627,1.4926538473625575,1.0298635338258761,1.5547266871342846
J1_2024_254,2024,2024-08-11,17,0.15,名古屋グランパス,東京ヴェルディ,1,0,1577.122,1575.957,1.1649999999999636,1.0004369704437812,1.0196464991478698,1.1743681510241994,1.0200920545311023,1.1738552109917175
J1_2024_255,2024,2024-08-11,17,0.15,柏レイソル,ガンバ大阪,0,0,1500.123,1572.047,-71.92399999999998,0.9733889827150304,0.7225116610904646,0.723709596568064,0.7032848907885941,0.7434947481627059
J1_2024_256,2024,2024-08-11,17,0.15,横浜Ｆ・マリノス,ヴィッセル神戸,1,2,1612.831,1685.664,-72.83300000000008,0.9730572352909612,0.7434751866741234,1.299085193855215,0.7234439096525538,1.3350552739754982
J1_2024_257,2024,2024-08-11,17,0.15,ＦＣ東京,川崎フロンターレ,0,3,1567.879,1574.174,-6.295000000000073,0.9976421590840383,1.6710348215749693,1.1487419863266282,1.6670947873006632,1.1514569386094495
J1_2024_258,2024,2024-08-11,17,0.15,ＦＣ町田ゼルビア,湘南ベルマーレ,0,1,1664.329,1488.84,175.48900000000003,1.0680220378327814,2.3400254211996083,1.1763511205616948,2.4991987189301184,1.1014296324341148
J1_2024_259,2024,2024-08-12,17,0.15,アルビレックス新潟,京都サンガF.C.,2,0,1545.846,1476.846,69.0,1.0262126638728375,1.0500411762692294,0.9913442196503527,1.0775655526754138,0.9660222043149475
J1_2024_260,2024,2024-08-16,17,0.15,北海道コンサドーレ札幌,サガン鳥栖,5,3,1443.008,1495.049,-52.04099999999994,0.9806738172128149,1.4858011920648009,1.1948260409516978,1.457086326641539,1.2183725311924076
J1_2024_261,2024,2024-08-17,17,0.15,アビスパ福岡,アルビレックス新潟,0,1,1576.151,1545.846,30.305000000000064,1.011429194822445,0.893021040291127,1.127911832376469,0.9032275517411569,1.1151663785762802
J1_2024_262,2024,2024-08-17,17,0.15,セレッソ大阪,京都サンガF.C.,3,5,1594.562,1476.846,117.7159999999999,1.0451323206161538,1.2587957697900907,0.8579204665425356,1.3156081440625151,0.8208725819872759
J1_2024_263,2024,2024-08-17,17,0.15,ヴィッセル神戸,ガンバ大阪,2,2,1685.664,1572.047,113.61699999999996,1.0435270556603449,0.8755827908024395,0.5158804210842479,0.9136943316729373,0.49436228633075385
J1_2024_264,2024,2024-08-17,17,0.15,名古屋グランパス,サンフレッチェ広島,1,2,1577.122,1651.04,-73.91799999999989,0.972661403160912,0.667928125538679,1.203921101509975,0.6496679077970893,1.2377597153516378
