event_id,competition,season,team,old_manager,new_manager,bridge_manager,last_old_manager_match_date,first_new_manager_match_date,effective_change_date,first_stable_new_manager_match_date,matches_played_at_change,remaining_matches_at_change_including_first_new,old_manager_matches_before_change,new_manager_matches_until_next_change_or_season_end,team_season_matches,next_manager,next_change_date,event_kind_auto,temporary_returns_removed_in_team_season,is_boost_candidate_auto,source,pseudo_last5_points,pseudo_last5_gf,pseudo_last5_ga,pseudo_last5_gd,timing_bucket,original_pseudo_event_id
PSEUDO_0077,J1,2019,広島,no_change_control,no_change_control,,2019-05-12,2019-05-17,2019-05-17,2019-05-17,11,23,11,23,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,5,7,-2,09_16,PSEUDO_2019_広島_11
PSEUDO_0078,J1,2019,松本,no_change_control,no_change_control,,2019-07-07,2019-07-13,2019-07-13,2019-07-13,18,16,18,16,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,3,7,-4,17_24,PSEUDO_2019_松本_18
PSEUDO_0079,J1,2019,松本,no_change_control,no_change_control,,2019-08-18,2019-08-23,2019-08-23,2019-08-23,23,11,23,11,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,3,5,-2,17_24,PSEUDO_2019_松本_23
PSEUDO_0080,J1,2019,浦和,no_change_control,no_change_control,,2019-08-23,2019-09-01,2019-09-01,2019-09-01,24,10,24,10,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,5,9,-4,17_24,PSEUDO_2019_浦和_24
PSEUDO_0081,J1,2019,磐田,no_change_control,no_change_control,,2019-05-12,2019-05-18,2019-05-18,2019-05-18,11,23,11,23,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,3,6,-3,09_16,PSEUDO_2019_磐田_11
PSEUDO_0082,J1,2019,磐田,no_change_control,no_change_control,,2019-10-05,2019-10-19,2019-10-19,2019-10-19,28,6,28,6,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,2,9,-7,25_plus,PSEUDO_2019_磐田_28
PSEUDO_0083,J1,2020,FC東京,no_change_control,no_change_control,,2020-10-28,2020-10-31,2020-10-31,2020-10-31,28,6,28,6,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,4,10,-6,25_plus,PSEUDO_2020_FC東京_28
PSEUDO_0084,J1,2020,清水,no_change_control,no_change_control,,2020-09-23,2020-09-26,2020-09-26,2020-09-26,19,15,19,15,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,6,11,-5,17_24,PSEUDO_2020_清水_19
PSEUDO_0085,J1,2021,C大阪,no_change_control,no_change_control,,2021-10-03,2021-10-24,2021-10-24,2021-10-24,32,6,32,6,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,2,7,-5,25_plus,PSEUDO_2021_C大阪_32
PSEUDO_0086,J1,2021,FC東京,no_change_control,no_change_control,,2021-05-01,2021-05-09,2021-05-09,2021-05-09,12,26,12,26,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,5,11,-6,09_16,PSEUDO_2021_FC東京_12
PSEUDO_0087,J1,2021,仙台,no_change_control,no_change_control,,2021-04-24,2021-05-01,2021-05-01,2021-05-01,10,28,10,28,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,3,7,-4,09_16,PSEUDO_2021_仙台_10
PSEUDO_0088,J1,2021,仙台,no_change_control,no_change_control,,2021-08-29,2021-09-12,2021-09-12,2021-09-12,27,11,27,11,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,1,8,-7,25_plus,PSEUDO_2021_仙台_27
PSEUDO_0089,J1,2021,大分,no_change_control,no_change_control,,2021-04-07,2021-04-11,2021-04-11,2021-04-11,7,31,7,31,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,1,2,8,-6,00_08,PSEUDO_2021_大分_07
PSEUDO_0090,J1,2021,大分,no_change_control,no_change_control,,2021-05-09,2021-05-15,2021-05-15,2021-05-15,12,26,12,26,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,3,9,-6,09_16,PSEUDO_2021_大分_12
PSEUDO_0091,J1,2021,大分,no_change_control,no_change_control,,2021-08-09,2021-08-15,2021-08-15,2021-08-15,23,15,23,15,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,2,8,-6,17_24,PSEUDO_2021_大分_23
PSEUDO_0092,J1,2021,広島,no_change_control,no_change_control,,2021-08-25,2021-08-28,2021-08-28,2021-08-28,25,13,25,13,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,3,5,-2,25_plus,PSEUDO_2021_広島_25
