model_version,target_year,previous_year,match_index_in_test,date,home,away,actual_home_goal,actual_away_goal,lambda_home,lambda_away,home_win_prob,draw_prob,away_win_prob,home_expected_points,away_expected_points,home_actual_points,away_actual_points,home_points_residual,away_points_residual,home_goal_residual,away_goal_residual,score_grid_expected_home_goals,score_grid_expected_away_goals,home_elo,away_elo,home_matchup_effect,away_matchup_effect
v1.5,2023,2022,45,2023-08-06,浦和,横浜FM,0,0,1.9116460618605242,1.5894973408022077,0.4301084950175346,0.26399873705618976,0.3058927679262756,1.5543242221087936,1.1816770408350166,1,1,-0.5543242221087936,-0.18167704083501657,-1.9116460618605242,-1.5894973408022077,1.8863979730817564,1.5824608462769894,1557.3234991779466,1654.9664878390527,-0.051045928795593665,0.051045928795593665
v1.5,2023,2022,46,2023-08-12,福岡,横浜FC,2,0,1.6623748807824206,0.5385639025012441,0.6097982033701677,0.28119059433399196,0.10901120229584044,2.110585204444495,0.6082242012215133,3,0,0.889414795555505,-0.6082242012215133,0.33762511921757943,-0.5385639025012441,1.5999525098603122,0.5449404527776011,1446.4903029050529,1420.8505167370859,-0.012743848817390675,0.012743848817390675
v1.5,2023,2022,47,2023-08-12,新潟,湘南,2,2,1.2244769950406262,1.7072913727083556,0.25731017974504766,0.2861091883627867,0.4565806318921657,1.0580397275979296,1.6558510840392837,1,1,-0.058039727597929636,-0.6558510840392837,0.7755230049593738,0.2927086272916444,1.220381795688462,1.672949384312383,1440.4461953650673,1451.2254606675106,-0.008586540488346402,0.008586540488346402
v1.5,2023,2022,48,2023-08-12,札幌,鳥栖,1,1,1.467266723132349,1.7870448654077007,0.2990409899965333,0.2748692323587053,0.4260897776447615,1.1719922023483051,1.5531385652929899,1,1,-0.17199220234830515,-0.5531385652929899,-0.46726672313234907,-0.7870448654077007,1.4595708471567865,1.760325172515073,1508.8331728929727,1492.560956580837,0.02282532534195072,-0.02282532534195072
v1.5,2023,2022,49,2023-08-12,川崎F,神戸,0,1,0.9821239800307909,1.2731095400007764,0.26752826526895,0.33,0.40247173473105,1.13258479580685,1.5374152041931501,0,3,-1.13258479580685,1.4625847958068499,-0.9821239800307909,-0.27310954000077636,0.9714921871992862,1.2434358571710777,1578.255514608496,1581.3188621947713,-0.021285850656862653,0.021285850656862653
v1.5,2023,2022,50,2023-08-12,柏,C大阪,1,1,0.9215778968156642,2.1566332872921095,0.142200594655495,0.2332964223145433,0.6245029830299618,0.6598982062810284,2.1068053714044286,1,1,0.34010179371897165,-1.1068053714044286,0.07842210318433585,-1.1566332872921095,0.9312409394626806,2.106542259399441,1426.229179760879,1556.9340998880539,0.001972050023819904,-0.001972050023819904
v1.5,2023,2022,51,2023-08-12,横浜FM,G大阪,2,1,3.5,0.7004919108078935,0.8634146917441716,0.09781935863962901,0.03876594961619925,2.6880634338721436,0.21411720748822677,3,0,0.31193656612785636,-0.21411720748822677,-1.5,0.2995080891921065,3.452744469787434,0.7108279317048632,1654.9664878390527,1452.455192640851,0.01525454293738013,-0.01525454293738013
v1.5,2023,2022,52,2023-08-12,FC東京,京都,2,0,2.1843121877665688,1.5246750319684095,0.5000029814429594,0.2462268489095275,0.2537701696475131,1.7462357932384056,1.0075373578520668,3,0,1.2537642067615944,-1.0075373578520668,-0.18431218776656877,-1.5246750319684095,2.1513285585397095,1.5259028792294456,1474.3075807527803,1435.0035369045336,-0.03600180278072281,0.03600180278072281
v1.5,2023,2022,53,2023-08-13,広島,浦和,2,1,0.7393921491952266,0.5239863774312594,0.4102453563954871,0.33000000000000007,0.2597546436045128,1.5607360691864614,1.1092639308135384,3,0,1.4392639308135386,-1.1092639308135384,1.2606078508047736,0.4760136225687406,0.7899659872117304,0.5480994959378378,1557.838679637829,1557.3234991779466,-0.06334305627135606,0.06334305627135606
v1.5,2023,2022,54,2023-08-13,名古屋,鹿島,1,0,0.8628105598969742,0.8986707761711169,0.3250688900349003,0.32999999999999985,0.34493110996509957,1.3052066701047007,1.3647933298952986,3,0,1.6947933298952993,-1.3647933298952986,0.1371894401030258,-0.8986707761711169,0.8641643007258327,0.9001938962746122,1567.8706549714868,1541.7221522140278,0.0033726416797961404,-0.0033726416797961404
