season,league,league_level,team,team_std,stat_key,stat_label,stat_category,higher_is_better,rank,value,source_url,scraped_at
2019,j1,1,ＦＣ東京,FC東京,shots_on_target_against,被枠内シュート総数,defense,False,12,129.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,松本山雅ＦＣ,松本,shots_on_target_against,被枠内シュート総数,defense,False,13,127.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,横浜Ｆ・マリノス,横浜FM,shots_on_target_against,被枠内シュート総数,defense,False,14,126.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,セレッソ大阪,C大阪,shots_on_target_against,被枠内シュート総数,defense,False,15,122.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,鹿島アントラーズ,鹿島,shots_on_target_against,被枠内シュート総数,defense,False,16,109.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,サンフレッチェ広島,広島,shots_on_target_against,被枠内シュート総数,defense,False,17,100.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,川崎フロンターレ,川崎F,shots_on_target_against,被枠内シュート総数,defense,False,18,97.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,横浜Ｆ・マリノス,横浜FM,xg,ゴール期待値,attack,True,1,62.3,https://www.jleague.jp/stats/j1/club/2019/expected_goals/,2026-06-18T18:40:33
2019,j1,1,北海道コンサドーレ札幌,札幌,xg,ゴール期待値,attack,True,2,59.2,https://www.jleague.jp/stats/j1/club/2019/expected_goals/,2026-06-18T18:40:33
2019,j1,1,名古屋グランパス,名古屋,xg,ゴール期待値,attack,True,3,53.8,https://www.jleague.jp/stats/j1/club/2019/expected_goals/,2026-06-18T18:40:33
2019,j1,1,ヴィッセル神戸,神戸,xg,ゴール期待値,attack,True,4,53.3,https://www.jleague.jp/stats/j1/club/2019/expected_goals/,2026-06-18T18:40:33
2019,j1,1,川崎フロンターレ,川崎F,xg,ゴール期待値,attack,True,5,53.1,https://www.jleague.jp/stats/j1/club/2019/expected_goals/,2026-06-18T18:40:33
2019,j1,1,セレッソ大阪,C大阪,xg,ゴール期待値,attack,True,6,51.2,https://www.jleague.jp/stats/j1/club/2019/expected_goals/,2026-06-18T18:40:33
2019,j1,1,鹿島アントラーズ,鹿島,xg,ゴール期待値,attack,True,7,50.4,https://www.jleague.jp/stats/j1/club/2019/expected_goals/,2026-06-18T18:40:33
2019,j1,1,ガンバ大阪,G大阪,xg,ゴール期待値,attack,True,8,48.7,https://www.jleague.jp/stats/j1/club/2019/expected_goals/,2026-06-18T18:40:33
2019,j1,1,ベガルタ仙台,仙台,xg,ゴール期待値,attack,True,9,47.6,https://www.jleague.jp/stats/j1/club/2019/expected_goals/,2026-06-18T18:40:33
2019,j1,1,ジュビロ磐田,磐田,xg,ゴール期待値,attack,True,10,46.5,https://www.jleague.jp/stats/j1/club/2019/expected_goals/,2026-06-18T18:40:33
